marca,modello,versione,passo,shock_abs_tallone,shock_abs_mesopiede,energy_ret_tallone,energy_ret_mesopiede,rigidezza_flex,peso,altezza_tallone,altezza_mesopiede,drop
adidas,Adizero Prime Strung X,3.0,tempo,160,125,0.737,0.767,38.5,291,48.1,35.1,13.0
adidas,Adistar,3.0,daily tr,136,132,0.54,0.551,12.3,274,40.7,30.2,10.500000000000004
adidas,Adizero Evo sl,,tempo,147,126,0.743,0.735,9.8,223,36.1,28.1,8.0
adidas,Adizero Adios Pro,4.0,race,142,117,0.804,0.803,22.7,200,36.6,28.5,8.100000000000001
adidas,Supernova Prima,,daily tr,129,115,0.67,0.654,12.4,281,36.1,27.2,8.900000000000002
adidas,Adizero SL,2.0,daily tr,136,107,0.561,0.643,12.7,245,34.9,26.7,8.2
adidas,Ultraboost X,5.0,daily tr,129,110,0.66,0.701,11.4,266,34.6,24.2,10.400000000000002
adidas,Adizero Boston,13.0,tempo,127,108,0.634,0.697,15.4,254,34.3,28.3,5.9999999999999964
adidas,Supernova Rise,2.0,daily tr,127,96,0.695,0.681,7.3,257,33.5,24.0,9.5
adidas,Adizero Takumi Sen,10.0,race,131,89,0.718,0.734,16.2,200,30.6,22.8,7.800000000000001
adidas,Adizero Adios,9.0,race,119,68,0.762,0.773,5.2,176,25.0,18.8,6.199999999999999
asics,Megablast,,tempo,160,144,0.73,0.738,18.8,218,45.1,35.2,9.899999999999999
asics,Sonicblast,,tempo,149,133,0.689,0.689,24.4,255,45.4,36.4,9.0
asics,MetaspeedRay,,race,170,120,0.78,0.81,16.3,129,39.8,30.0,9.799999999999997
asics,dynablast,5.0,daily tr,156,127,0.54,0.588,14.5,264,39.4,31.8,7.599999999999998
asics,MetaspeedEdge Tokyo,,race,146,132,0.783,0.768,15.8,159,38.9,32.0,6.899999999999999
asics,novablast,5.0,daily tr,141,134,0.636,0.665,11.2,254,40.9,33.5,7.399999999999999
asics,nimbus,27.0,daily tr,136,136,0.477,0.486,20.2,299,42.7,34.4,8.300000000000004
asics,superblast,2.0,tempo,130,138,0.654,0.655,18.4,252,42.8,34.6,8.199999999999996
