marca,modello,versione,passo,shock_abs_tallone,shock_abs_mesopiede,energy_ret_tallone,energy_ret_mesopiede,rigidezza_flex,peso,altezza_tallone,altezza_mesopiede,drop,morbidezza_intersuola,morbidezza_intersuola_2,rocker,piastra,larghezza_mesopiede,larghezza_dita,altezza_dita,test_trazione,traspirab,rigidezza_torsionale,rigidezza_tallone,larghezza_suola_mesop,larghezza_suola_tallone,resistenza_tomaia,resistenza_tendach,resistenza_suola,spessore_suola,spessore_soletta,soletta_rimovibile,variazrigidezza_temp,elementi_catarinfr,spessore_linguetta,tipo_linguetta, prezzo ,anello_tallone
adidas,Adizero Adios Pro,4.0,race,142,117,0.8,0.8,22.7,200,36.6,28.5,8.1,11.0,,6x10,carbonio,93.2,69.5,28.3,0.55,2.0,4.0,1.0,118.8,80.4,1.0,5.0,0.8,1.0,1.9,y,0.07,n,5.6,semi integr,250.0,y/n
adidas,Adizero Evo sl,,tempo,147,126,0.74,0.74,9.8,223,36.1,28.1,8.0,21.3,,5x10,#N/D,97.5,71.6,28.1,0.4,5.0,4.0,3.0,116.3,87.3,1.0,5.0,0.6,1.6,2.4,y,0.13,n,1.5,std,150.0,n
adidas,Adizero Prime Strung X,3.0,tempo,160,125,0.74,0.77,38.5,291,48.1,35.1,13.0,19.5,14.0,5x10,carbonio,97.8,73.2,25.4,0.56,4.0,5.0,1.0,124.3,84.6,5.0,4.0,1.9,1.8,2.7,y,0.11,n,1.6,calzino,300.0,n
adidas,Adizero Adios,9.0,race,119,68,0.76,0.77,5.2,176,25.0,18.8,6.2,16.0,,4x9,#N/D,94.3,70.6,27.5,0.55,2.0,2.0,1.0,110.8,72.5,1.0,4.0,0.6,1.0,2.6,y,0.19,n,2.6,semi integr,140.0,y
adidas,Adizero Takumi Sen,10.0,race,131,89,0.72,0.73,16.2,200,30.6,22.8,7.8,13.4,20.4,4x8,#N/D,94.0,72.0,25.0,0.5,5.0,4.0,1.0,110.3,75.8,1.0,4.0,1.9,1.8,3.4,y,0.18,n,4.0,std,200.0,y
adidas,Adizero SL,2.0,daily tr,136,107,0.56,0.64,12.7,245,34.9,26.7,8.2,20.1,19.5,"3,5x7",#N/D,98.3,71.7,26.2,0.69,5.0,3.0,2.0,113.0,82.4,1.0,5.0,1.1,3.6,3.4,y,0.05,n,12.7,std,130.0,y
adidas,Supernova Rise,2.0,daily tr,127,96,0.7,0.68,7.3,257,33.5,24.0,9.5,21.0,,4x9,#N/D,98.7,77.7,28.4,0.38,4.0,3.0,4.0,113.9,86.0,3.0,4.0,1.1,2.5,4.4,y,0.06,y,9.4,std,150.0,n
adidas,Adizero Boston,13.0,tempo,127,108,0.63,0.7,15.4,254,34.3,28.3,6.0,14.5,23.0,"4,5x9",plastic,97.3,70.6,28.3,0.47,4.0,5.0,4.0,121.0,83.8,2.0,4.0,0.5,2.3,3.3,y,0.3,n,2.9,semi integr,160.0,n
adidas,Ultraboost X,5.0,daily tr,129,110,0.66,0.7,11.4,266,34.6,24.2,10.4,16.4,,4x8,#N/D,96.2,75.4,23.9,0.52,3.0,4.0,3.0,115.4,94.5,5.0,5.0,0.4,2.6,3.1,y,0.34,y,1.5,calzino,180.0,y
adidas,Adistar,3.0,daily tr,136,132,0.54,0.55,12.3,274,40.7,30.2,10.5,14.8,,4x8,#N/D,95.0,72.6,26.5,0.4,5.0,4.0,4.0,113.4,91.9,1.0,3.0,1.0,3.0,4.8,y,0.27,y,12.3,std,140.0,n
adidas,Supernova Prima,,daily tr,129,115,0.67,0.65,12.4,281,36.1,27.2,8.9,20.0,33.0,"4,5x8,5",#N/D,96.6,74.9,28.1,0.43,4.0,4.0,5.0,114.6,88.0,3.0,1.0,2.1,2.2,4.2,y,0.1,n,7.7,semi integr,170.0,n
asics,MetaspeedRay,,race,170,120,0.78,0.81,16.3,129,39.8,30.0,9.8,12.5,19.8,5x9,carbonio,91.3,69.6,27.0,0.7,4.0,3.0,1.0,100.8,73.0,1.0,5.0,1.2,0.9,7.6,y,0.02,n,0.4,std,330.0,n
asics,MetaspeedEdge Tokyo,,race,146,132,0.78,0.77,15.8,159,38.9,32.0,6.9,11.5,19.0,5x8,carbonio,89.4,73.0,28.1,0.74,5.0,5.0,1.0,108.0,75.0,1.0,5.0,0.9,1.4,3.4,y,0.09,n,0.6,std,270.0,n
asics,Megablast,,tempo,160,144,0.73,0.74,18.8,218,45.1,35.2,9.9,15.5,,5x8,#N/D,93.7,74.3,24.2,0.8,4.0,5.0,3.0,117.9,95.4,1.0,4.0,0.9,3.0,4.4,y,0.12,n,0.9,semi integr,240.0,y
asics,Sonicblast,,tempo,149,133,0.69,0.69,24.4,255,45.4,36.4,9.0,19.9,20.0,"5,5x8",pebax,92.8,70.1,25.4,0.79,5.0,5.0,2.0,115.2,94.1,1.0,5.0,1.0,2.0,4.8,y,0.04,n,0.8,semi integr,190.0,n
asics,superblast,2.0,tempo,130,138,0.65,0.66,18.4,252,42.8,34.6,8.2,18.3,20.6,"5,5x9,5",#N/D,94.7,72.3,27.7,0.83,5.0,5.0,3.0,118.8,97.6,4.0,4.0,0.5,3.1,4.4,y,0.08,y,1.7,semi integr,220.0,y
asics,novablast,5.0,daily tr,141,134,0.64,0.67,11.2,254,40.9,33.5,7.4,13.0,,5x8,#N/D,97.5,74.4,27.2,0.53,3.0,4.0,3.0,122.3,97.6,1.0,3.0,0.9,3.3,4.4,y,0.42,n ,5.0,semi integr,150.0,y
asics,magicspeed,4.0,tempo,144,122,0.56,0.62,26.5,237,42.5,32.9,9.6,14.9,18.1,5x8,carbonio,93.6,74.3,26.1,0.81,5.0,5.0,1.0,109.6,87.4,4.0,4.0,0.9,2.4,3.8,y,0.16,n,1.0,semi integr,180.0,n
asics,dynablast,5.0,daily tr,156,127,0.54,0.59,14.5,264,39.4,31.8,7.6,20.1,,5x8,#N/D,94.9,71.1,23.4,0.47,4.0,4.0,4.0,118.4,90.7,4.0,4.0,0.8,3.6,5.4,y,0.27,n,3.9,semi integr,130.0,y
asics,nimbus,27.0,daily tr,136,136,0.48,0.49,20.2,299,42.7,34.4,8.3,21.0,,5x8,#N/D,97.0,73.8,26.4,0.84,4.0,5.0,4.0,119.5,99.8,3.0,5.0,0.8,3.0,4.7,y,0.19,y,1.5,semi integr,200.0,y
hoka,Cielo X1,2.0,race,160,108,0.76,0.78,19.4,208,38.8,28.1,10.7,13.0,13.5,"5,5x11",carbonio,90.6,71.3,26.3,0.39,5.0,4.0,2.0,116.7,80.6,1.0,1.0,1.1,2.3,3.1,y,0.42,n,1.7,std,275.0,y/n
hoka,rocket X,3.0,race,155,112,0.74,0.78,21.3,220,39.6,29.6,10.0,15.9,15.5,"5,5x9,5",carbonio,92.0,70.0,26.9,0.57,5.0,4.0,2.0,108.0,76.5,3.0,4.0,0.9,2.4,3.4,y,0.03,n,3.1,std,250.0,y/n
hoka,rocket X,2.0,race,141,112,0.74,0.74,20.0,218,37.7,31.1,6.6,17.4,,,carbonio,88.5,70.8,27.7,,4.0,5.0,1.0,113.3,85.2,1.0,5.0,0.5,2.0,2.5,y,0.15,n,1.9,semi integr,250.0,n
hoka,Cielo X1,,race,147,119,0.74,0.75,19.3,249,39.8,30.3,9.5,15.5,31.0,"5,5x11",carbonio,93.0,70.9,27.9,0.39,3.0,5.0,2.0,117.4,89.7,5.0,4.0,0.8,2.6,3.7,y,0.07,y,2.1,semi integr,275.0,n
hoka,rincon,4.0,daily tr,134,114,0.56,0.59,16.1,231,36.0,26.6,9.4,14.3,,4x8,#N/D,92.4,70.2,25.2,0.46,5.0,4.0,4.0,116.3,97.0,1.0,2.0,6.5,6.6,4.8,y,0.44,y,6.7,std,130.0,n
hoka,mach X,2.0,tempo,149,133,0.61,0.69,15.9,247,44.6,33.7,10.9,14.1,21.5,5x9,pebax,95.3,71.7,24.3,0.5,4.0,5.0,1.0,113.3,94.3,5.0,4.0,0.8,2.6,4.7,y,0.13,n,1.2,semi integr,190.0,y/n
hoka,mach,6.0,tempo,135,114,0.65,0.67,13.7,232,36.0,26.4,9.6,20.4,,5x9,#N/D,95.5,70.1,30.0,0.49,5.0,4.0,4.0,113.9,93.7,2.0,1.0,0.6,2.5,4.5,y,0.42,n,1.5,semi integr,160.0,y/n
hoka,mach X,3.0,tempo,151,125,0.59,0.69,17.8,264,42.9,33.4,9.5,14.4,20.4,5x9,pebax,91.6,70.8,28.5,0.58,3.0,5.0,2.0,115.4,89.1,2.0,4.0,0.8,2.5,5.0,y,0.15,n,6.4,std,190.0,y/n
hoka,clifton,9.0,daily tr,127,113,0.53,0.55,17.7,249,32.7,26.6,6.1,20.4,,#N/D,#N/D,92.2,68.9,28.9,0.33,3.0,4.0,5.0,115.3,96.0,,,,3.7,4.2,y,0.18,n,6.6,semi integr,150.0,y/n
hoka,clifton,10.0,daily tr,147,122,0.52,0.57,14.7,275,44.4,32.0,12.4,17.1,,5x10,#N/D,97.2,73.1,27.3,0.49,3.0,5.0,3.0,116.9,94.5,4.0,5.0,1.0,3.6,4.8,y,0.19,y,7.6,std,160.0,y/n
hoka,skyflow,,daily tr,133,121,0.58,0.6,18.7,282,39.3,30.6,8.7,19.4,,4x9,#N/D,94.3,69.5,27.1,0.47,5.0,4.0,4.0,116.3,94.7,3.0,5.0,0.8,3.3,5.1,y,0.25,y,9.6,semi integr,170.0,y
hoka,bondi,9.0,daily tr,146,133,0.6,0.6,16.5,303,41.3,32.2,9.1,25.1,,4x8,#N/D,94.1,72.5,29.6,0.45,3.0,4.0,3.0,123.2,104.2,4.0,5.0,0.9,3.4,4.4,y,0.2,y,9.0,std,180.0,y
hoka,skyward X,,daily tr,136,139,0.66,0.69,28.5,315,46.3,37.1,9.2,19.8,16.0,5x10,carbonio,92.1,69.1,28.4,0.47,5.0,5.0,5.0,123.7,100.1,4.0,5.0,0.8,3.1,4.2,y,0.01,n,9.5,std,225.0,y/n
mizuno,Wave Rebellion Pro,2.0,race,159,116,0.63,0.67,21.7,209,37.9,35.8,2.1,16.0,26.0,6x11,carbonio,96.0,75.0,27.0,0.46,4.0,5.0,1.0,113.3,82.0,1.0,4.0,1.9,2.1,3.6,y,0.07,y,1.3,std,240.0,n
mizuno,Neo Zen,,daily tr,158,129,0.72,0.68,12.8,234,41.0,34.0,7.0,13.5,,5x8,#N/D,93.7,73.4,27.0,0.38,4.0,3.0,1.0,113.5,94.7,5.0,4.0,0.9,2.7,4.8,y,0.33,y,4.1,calzino,150.0,y
mizuno,Neo Vista,2.0,tempo,170,137,0.6,0.6,13.5,264,46.0,37.5,8.5,10.0,20.0,5x8,fiberglass,96.5,72.9,29.2,0.45,4.0,4.0,1.0,116.4,95.8,5.0,4.0,0.6,3.5,4.8,y,0.13,y,1.9,calzino,180.0,y
mizuno,Wave Rider,29.0,daily tr,142,116,0.53,0.56,15.8,258,37.5,29.2,8.3,16.9,19.9,4x7,pebax,94.6,76.7,28.3,0.52,3.0,,,,,,,,,,,,,,,160.0,
mizuno,Wave Rider,28.0,daily tr,131,99,0.53,0.52,15.5,276,39.3,24.6,14.7,28.0,20.2,"4,5x9",pebax,96.7,77.2,33.8,0.48,4.0,4.0,3.0,119.5,85.1,3.0,5.0,1.3,4.3,5.5,y,0.08,y,6.0,semi integr,160.0,n
new balance,FC SC Elite,5.0,race,144,112,0.75,0.75,16.2,198,39.3,28.6,10.7,15.2,15.0,"7x4,5",carbonio,93.8,74.5,26.4,0.61,4.0,4.0,2.0,107.0,71.6,1.0,3.0,1.1,3.5,3.1,y,0.09,n,1.0,semi integr,280.0,n
new balance,FC SC Elite,4.0,race,146,114,0.77,0.73,18.4,232,38.2,28.9,9.3,,,,carbonio,96.0,78.0,27.3,,,,,,,,,,,,,,,,,,
new balance,FC SC Pacer,2.0,race,132,97,0.75,0.76,17.2,200,32.9,25.4,7.5,10.0,,4x9,carbonio,93.6,75.9,26.6,0.44,5.0,4.0,2.0,111.5,85.3,2.0,2.0,0.8,2.9,2.8,y,0.26,n,2.3,std,200.0,n
